的	309747
什么	128462
怎么	120728
是	94502
 	85625
吗	78218
有	51131
图片	46011
了	40362
和	38639
手机	35237
在	34969
我	34912
多少	34494
,	34083
意思	29728
可以	28167
到	27847
视频	27783
好	26359
小说	26000
2016	22616
用	22176
下载	21908
吃	21694
之	20099
大学	19886
能	19708
你	19340
不	18588
中国	18182
大全	18123
人	18032
钱	17614
与	16759
电影	16113

	15458
世界	14773
为什么	14672
说	14660
qq	14542
怎么办	14424
上	14310
哪个	14177
英语	14086
做	13704
一个	13659
年	13629
如何	13318
大	13147
游戏	13012
会	12487
电视	12000
时间	11959
2	11751
公司	11698
电脑	11377
学院	11374
后	11351
月	11215
哪里	11175
txt	11117
中	10971
价格	10892
谁	10780
小	10768
要	10670
英文	10319
怎样	10269
哪些	10185
北京	10035
怎么样	9843
吧	9668
软件	9665
银行	9602
重生	9447
哪	9376
没有	9258
版	9210
成语	9158
汽车	9149
字	9107
怀孕	8998
去	8919
百度	8817
里	8753
官网	8609
电话	8601
医院	8521
.	8398
时候	8397
多久	8147
被	8101
回事	8086
网	8083
微信	8055
系统	7976
都	7895
电视剧	7893
第一	7861
火车	7845
苹果	7837
做法	7800
怎么回事	7778
号	7736
阅读	7712
3	7608
看	7606
免费	7528
爱	7495
招聘	7478
?	7423
宝宝	7393
作文	7214
在线	7197
英雄	7124
新	7116
对	7114
荣耀	7104
/	7076
最	7012
查询	7005
穿越	6967
全集	6944
打	6855
还是	6814
王者	6756
很	6605
上海	6541
方法	6512
买	6489
最新	6468
一	6457
公交	6444
多	6440
1	6407
云	6320
-	6202
作用	6163
区别	6140
自己	6134
歌曲	6116
梦见	6101
学生	6092
需要	6091
歌词	6053
照片	5934
还	5914
写	5893
女	5865
学校	5862
不能	5829
5	5813
漫画	5775
lol	5755
有限	5660
名字	5639
直播	5568
路	5563
就	5541
女生	5516
头像	5505
原因	5460
歌	5436
图	5418
:	5351
有限公司	5330
来	5322
攻略	5315
职业	5289
叫	5254
关于	5248
么	5236
皮肤	5221
翻译	5192
4	5122
笔记	5103
男	5093
给	5062
没	5038
动漫	5003
考试	4946
全文	4936
朋友	4932
时刻	4895
第二	4893
信息	4886
年级	4870
答案	4864
读	4844
孕妇	4772
孩子	4747
音乐	4739
快	4710
设置	4709
个人	4708
个	4707
广州	4685
时刻表	4644
卡	4616
不是	4603
为	4520
故事	4514
快递	4493
玩	4476
工作	4474
功效	4471
深圳	4468
